id,description,product_id ,cate_property_id
1,Fullsize,1,6
2,USB 2.0,1,7
3, MECH DOME key ,1,8
4,RGB ,1,9
5,TKL ,2,6
6,Wireless ,2,7
7,CLICKY ,2,8
8,Lightsync RGB,2,9
9,TKL ,3,6
10,Type - C,3,7
11,ROG NX Mechanical,3,8
12,Per-Key RGB,3,9
13,Fullsize,4,6
14,USB 2.0,4,7
15,Cherry MX,4,8
16,RGB,4,9
17,Fullsize,5,6
18,USB Type-C to USB Type-A,5,7
19,HyperX ,5,8
20,RGB ,5,9
21,60 phím,6,6
22,"USB-C to USB-A,",6,7
23,HyperX Aqua,6,8
24,RGB ,6,9
25, 68 phím,7,6
26,Có dây,7,7
27,AKKO CS Switch Jelly Pink,7,8
28,RGB ,7,9
29,TKL ,8,6
30,Dây,8,7
31,AKKO Switch v3,8,8
32,RGB ,8,9
33,Fullsize,9,6
34,Có dây,9,7
35,SteelSeries QX2 Mechanical RGB Switch,9,8
36,RGB Dynamic,9,9
37,TKL,10,6
38,Có dây,10,7
39,OmniPoint ,10,8
40, RGB dynamic,10,9
41,27 inch,11,1
42,1920x1080,11,2
43,16.7 triệu ,11,3
44,VA,11,4
45,144Hz,11,5
46,27 Inch,12,1
47,1920x1080,12,2
48,16.7 triệu ,12,3
49,IPS,12,4
50,144Hz,12,5
51,27 inch,13,1
52,1920x1080,13,2
53,16.7 triệu ,13,3
54,IPS,13,4
55,75Hz,13,5
56,27 inch,14,1
57,1920x1080,14,2
58,16.7 triệu ,14,3
59,IPS,14,4
60,60Hz,14,5
61,"23,8 inch",15,1
62,1920x1080,15,2
63,16.7 triệu ,15,3
64,IPS,15,4
65,165Hz,15,5
66,24 inch,16,1
67,Full HD,16,2
68,16.7 triệu ,16,3
69,IPS ,16,4
70,144Hz,16,5
71,23.8 inch,17,1
72,1920x1080,17,2
73,16.7 triệu ,17,3
74,IPS,17,4
75,75Hz,17,5
76,27 inch,18,1
77,Full HD,18,2
78,16.7 triệu ,18,3
79,IPS,18,4
80,75Hz,18,5
81,"23,8 Inch",19,1
82,1920x1080,19,2
83,16.7 triệu ,19,3
84,IPS,19,4
85,144Hz,19,5
86,27 inch,20,1
87,Full HD,20,2
88,16.7 triệu ,20,3
89,IPS,20,4
90,75Hz,20,5
91,Fusion Engine,21,10
92,Có dây,21,11
93,4000,21,12
94,Thường,21,13
95,HERO 25K,22,10
96,Công nghệ không dây LIGHTSPEED,22,11
97,25600,22,12
98,RGB,22,13
99,Razer Focus+,23,10
100,Có dây,23,11
101,20000,23,12
102,RGB,23,13
103,Optical,24,10
104,USB 2.0,24,11
105,6400,24,12
106,Trắng ,24,13
107,Optical,25,10
108,Không Dây,25,11
109,26000,25,12
110,RGB,25,13
111,PAW3392,26,10
112,Không dây,26,11
113,18000,26,12
114,RGB,26,13
115,SteelSeries TrueMove Air,27,10
116,Bluetooth ,27,11
117,18000,27,12
118,RGB,27,13
119,SteelSeries TrueMove Air,28,10
120,Bluetooth ,28,11
121,"18,000 ",28,12
122,RGB,28,13
123,Pixart ,29,10
124,Có dây,29,11
125,16000,29,12
126,Không ,29,13
127,PixArt Optical Sensor,30,10
128,Có dây,30,11
129,16000,30,12
130,RGB,30,13
